"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"Nanoscale","2040-3364","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Frontiers in psychiatry","1664-0640","Health Sciences","Clinical Medicine","Psychiatry","manual"
"Scientific reports","2045-2322","General","General Science & Technology","General Science & Technology","manual"
"Zootaxa","1175-5326","Natural Sciences","Biology","Zoology","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Chelonian Conservation and Biology","1071-8443","Natural Sciences","Biology","Ecology","auto_issn"
"Social Cognitive and Affective Neuroscience","1749-5016","Health Sciences","Psychology & Cognitive Sciences","Experimental Psychology","auto_name"
"Allergo Journal","0941-8849","Health Sciences","Clinical Medicine","Allergy","auto_issn"
"Reviews of Geophysics","8755-1209","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","1939-1404","Applied Sciences","Engineering","Environmental Engineering","manual"
"Neurology Genetics","2376-7839","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","manual"
"BMJ (Clinical research ed.)","2044-6055","Health Sciences","Clinical Medicine","General & Internal Medicine","custom"
"Faraday Discussions","1359-6640","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Journal of Hydrology","0022-1694","Applied Sciences","Engineering","Environmental Engineering","auto_issn"
"Metals","2075-4701","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Persoonia","0031-5850","Health Sciences","Biomedical Research","Mycology & Parasitology","auto_issn"
"Progress in Natural Science (Elsevier)","1002-0071","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Energy & Fuels","0887-0624","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"EPL (Europhysics Letters)","0295-5075","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Science Advances","2375-2548","General","General Science & Technology","General Science & Technology","manual"
"Surface Science ","0039-6028","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"World Englishes","0883-2919","Arts & Humanities","Communication & Textual Studies","Languages & Linguistics","auto_issn"
"Nuclear Materials and Energy",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Nuclear Materials and Energy",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Nuclear Materials and Energy",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Nuclear Materials and Energy",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Public Transport","1866-749X","Applied Sciences","Engineering","Civil Engineering","manual"
"Mineralogy and Petrology","0930-0708","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Nano Letters","1530-6984","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"Underground Space","2467-9674","Applied Sciences","Engineering","Geological & Geomatics Engineering","manual"
"Business & Information Systems Engineering","2363-7005","Economic & Social Sciences","Economics & Business ","Business & Management","manual"
"The Depositional Record","2055-4877","Natural Sciences","Earth & Environmental Sciences","Geology","manual"
"Diabetes","0012-1797","Health Sciences","Clinical Medicine","Endocrinology & Metabolism","auto_issn"
"Environmental Research Letters","1748-9326","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_name"
"European Journal of Nuclear Medicine and Molecular Imaging","1619-7070","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"Geostandards & Geoanalytical Research","1639-4488","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Global Ecology","1466-822X","Natural Sciences","Biology","Ecology","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"IEEE Communications Magazine","0163-6804","Applied Sciences","Information & Communication Technologies","Networking & Telecommunications","auto_issn"
"International Journal of Biological Macromolecules","0141-8130","Natural Sciences","Chemistry","Polymers","auto_issn"
"International Journal of Cancer","0020-7136","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The Journal of Membrane Biology","0022-2631","Health Sciences","Biomedical Research","Physiology","auto_issn"
"Journal of Periodontal Research","0022-3484","Health Sciences","Clinical Medicine","Dentistry","auto_issn"
"Journal of Proteome Research","1535-3893","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","auto_issn"
"Journal of the European Ceramic Society","0955-2219","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Journal of Thoracic Oncology","1556-0864","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"The Lancet Oncology","1470-2045","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Landslides","1612-510X","Applied Sciences","Enabling & Strategic Technologies","Strategic, Defence & Security Studies","auto_issn"
"Nature Geoscience","1752-0894","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Nature Protocols","1754-2189","Applied Sciences","Enabling & Strategic Technologies","Bioinformatics","auto_issn"
"Phytochemistry Letters","1874-3900","Natural Sciences","Chemistry","Medicinal & Biomolecular Chemistry","auto_issn"
"Renewable & Sustainable Energy Reviews","1364-0321","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Schizophrenia Research","0920-9964","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"European Radiology","0938-7994","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"Acta Geotechnica","1861-1125","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"Critical Care Medicine","0090-3493","Health Sciences","Clinical Medicine","Emergency & Critical Care Medicine","auto_issn"
"Metallurgical and Materials Transactions A","1073-5623","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Across languages and cultures","1585-1923","Arts & Humanities","Communication & Textual Studies","Languages & Linguistics","manual"
"Evolutionary applications","1752-4571","Natural Sciences","Biology","Evolutionary Biology","manual"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Transactions of the American Mathematical Society","0002-9947","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Journal of Engineering Mechanics","0733-9399","Applied Sciences","Engineering","Civil Engineering","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"PloS one","1932-6203","General","General Science & Technology","General Science & Technology","auto_name"
"Climate of the Past","1814-9324","Natural Sciences","Earth & Environmental Sciences","Paleontology","auto_issn"
"Earth System Science Data","1866-3508","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of extracellular vesicles",NA,"Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"The New England journal of medicine","0028-4793","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Chemistry - A European Journal","0947-6539","Natural Sciences","Chemistry","General Chemistry","auto_issn"
"BMJ (Clinical research ed.)","1756-1833","Health Sciences","Clinical Medicine","General & Internal Medicine","custom"
"Journal of Materials Chemistry","2050-750X","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","custom"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Frontiers in aging neuroscience","1663-4365","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","manual"
"Frontiers in aging neuroscience",NA,"Health Sciences","Clinical Medicine","Neurology & Neurosurgery","manual"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"Cell","0092-8674","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Engineering Structures","0141-0296","Applied Sciences","Engineering","Civil Engineering","auto_issn"
"Agriculture, Ecosystems & Environment","0167-8809","Applied Sciences","Agriculture, Fisheries & Forestry","Agronomy & Agriculture","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of Chemical Physics","0021-9606","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Frontiers in Microbiology","1664-302X","Health Sciences","Biomedical Research","Microbiology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Science","0036-8075","General","General Science & Technology","General Science & Technology","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Langmuir","0743-7463","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Mycologia","0027-5514","Health Sciences","Biomedical Research","Mycology & Parasitology","auto_issn"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Advanced Materials","0935-9648","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","auto_issn"
"Molecular Oncology","1574-7891","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Neuro-Oncology","1522-8517","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Annals of Oncology","0923-7534","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"The American Journal of Human Genetics","0002-9297","Health Sciences","Biomedical Research","Genetics & Heredity","auto_issn"
"Annals of Neurology","0364-5134","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Applied Sciences","2076-3417","General","General Science & Technology","General Science & Technology","manual"
"Bioresource Technology","0960-8524","Applied Sciences","Enabling & Strategic Technologies","Biotechnology","auto_issn"
"Biotechnology Advances","0734-9750","Applied Sciences","Enabling & Strategic Technologies","Biotechnology","auto_issn"
"British Journal of Surgery","0007-1323","Health Sciences","Clinical Medicine","Surgery","auto_issn"
"Chinese Physics B","1674-1056","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Electrochimica Acta","0013-4686","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Environmental science. Nano","2051-8153","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","manual"
"EPL (Europhysics Letters)","0295-5075","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"European Journal of Cancer","0959-8049","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"European Journal of Nuclear Medicine and Molecular Imaging","1619-7070","Health Sciences","Clinical Medicine","Nuclear Medicine & Medical Imaging","auto_issn"
"Fire and Materials","0308-0501","Natural Sciences","Chemistry","Polymers","auto_issn"
"Food and Chemical Toxicology","0278-6915","Applied Sciences","Agriculture, Fisheries & Forestry","Food Science","auto_issn"
"Forensic Science International: Genetics","1872-4973","Health Sciences","Clinical Medicine","Legal & Forensic Medicine","auto_issn"
"Fungal Diversity","1560-2745","Health Sciences","Biomedical Research","Mycology & Parasitology","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Fusion Engineering and Design","0920-3796","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"IEEE journal of biomedical and health informatics","2168-2194","Applied Sciences","Information & Communication Technologies","Medical Informatics","manual"
"Journal of Geographical Sciences","1009-637X","Economic & Social Sciences","Social Sciences","Geography","auto_issn"
"The Lancet Oncology","1470-2045","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Landslides","1612-510X","Applied Sciences","Enabling & Strategic Technologies","Strategic, Defence & Security Studies","auto_issn"
"Metals","2075-4701","Applied Sciences","Enabling & Strategic Technologies","Materials","manual"
"Molecules (Basel, Switzerland)","1420-3049","Natural Sciences","Chemistry","Organic Chemistry","select_name"
"Nanomaterials (Basel)","2079-4991","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","manual"
"Nature ecology & evolution","2397-334X","Natural Sciences","Biology","Evolutionary Biology","manual"
"Nature Physics","1745-2473","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Plasma Physics and Controlled Fusion (Elsevier)","0741-3335","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Remote sensing (Basel)","2072-4292","Applied Sciences","Engineering","Geological & Geomatics Engineering","manual"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Tree Physiology","0829-318X","Natural Sciences","Biology","Plant Biology & Botany","auto_issn"
"Intensive Care Medicine","0342-4642","Health Sciences","Clinical Medicine","Emergency & Critical Care Medicine","auto_issn"
"JAMA oncology","2374-2437","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","manual"
"Journal of software","2047-7473","Applied Sciences","Information & Communication Technologies","Computation Theory & Mathematics","manual"
"The Journal of experimental biology","0022-0949","Health Sciences","Biomedical Research","Physiology","auto_issn"
"The American Journal of Human Genetics","0002-9297","Health Sciences","Biomedical Research","Genetics & Heredity","auto_issn"
"Wiener klinische Wochenschrift","0043-5325","Health Sciences","Clinical Medicine","General Clinical Medicine","auto_issn"
"Wiener klinische Wochenschrift","0043-5325","Health Sciences","Clinical Medicine","General Clinical Medicine","auto_issn"
"Wiener klinische Wochenschrift","0043-5325","Health Sciences","Clinical Medicine","General Clinical Medicine","auto_issn"
"Wiener klinische Wochenschrift","0043-5325","Health Sciences","Clinical Medicine","General Clinical Medicine","auto_issn"
"Zeitschrift für Naturforschung - Section A Journal of Physical Sciences","0932-0784","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Cement and Concrete Research","0008-8846","Applied Sciences","Built Environment & Design","Building & Construction","auto_issn"
"Pediatric Blood & Cancer","1545-5009","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Pediatric Blood & Cancer","1545-5009","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Science signaling","1945-0877","Health Sciences","Biomedical Research","Biochemistry & Molecular Biology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"BMC Bioinformatics","1471-2105","Applied Sciences","Enabling & Strategic Technologies","Bioinformatics","auto_name"
"Nature communications","2041-1723","General","General Science & Technology","General Science & Technology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Atmospheric Measurement Techniques","1867-1381","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","auto_issn"
"Proceedings of the National Academy of Sciences of the United States of America","0027-8424","General","General Science & Technology","General Science & Technology","manual"
"The European Physical Journal C - Particles and Fields","1434-6044","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review C - Nuclear Physics","2469-9985","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Nature Communications","2041-1723","Natural Sciences","Biology","Ecology","manual"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Tectonophysics","0040-1951","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Zootaxa","1175-5326","Natural Sciences","Biology","Zoology","auto_issn"
"Energy","0360-5442","Applied Sciences","Enabling & Strategic Technologies","Energy","auto_issn"
"Materials & design","0264-1275","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Journal of Alloys and Compounds","0925-8388","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Ceramics International","0272-8842","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Journal of Algebra","0021-8693","Natural Sciences","Mathematics & Statistics","General Mathematics","auto_issn"
"Physical Chemistry Chemical Physics","1463-9076","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Chemical Engineering Science","0009-2509","Applied Sciences","Engineering","Chemical Engineering","auto_issn"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Blood","0006-4971","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"Frontiers in physics","2296-424X","Natural Sciences","Physics & Astronomy","General Physics","manual"
"The Astrophysical Journal","0004-637X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
